id; time; WIN<BUY_ASK,qty=5>; WIN<SELL_BID,qty=5>; IND<BUY_ASK,qty=1>; IND<SELL_BID,qty=1>; WDO<BUY_ASK,qty=5>; WDO<SELL_BID,qty=5>; DOL<BUY_ASK,qty=1>; DOL<SELL_BID,qty=1>;
0; 2016-04-28 09:00:00.336 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
1; 2016-04-28 09:00:01.382 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
2; 2016-04-28 09:00:02.621 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
3; 2016-04-28 09:00:03.723 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
4; 2016-04-28 09:00:04.865 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
5; 2016-04-28 09:00:06.130 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
6; 2016-04-28 09:00:07.155 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
7; 2016-04-28 09:00:08.304 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
8; 2016-04-28 09:00:09.428 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
9; 2016-04-28 09:00:10.501 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
10; 2016-04-28 09:00:11.571 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
11; 2016-04-28 09:00:12.621 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
12; 2016-04-28 09:00:13.799 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
13; 2016-04-28 09:00:14.819 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
14; 2016-04-28 09:00:15.909 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
15; 2016-04-28 09:00:16.964 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
16; 2016-04-28 09:00:18.149 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
17; 2016-04-28 09:00:19.178 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
18; 2016-04-28 09:00:20.399 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
19; 2016-04-28 09:00:21.453 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
20; 2016-04-28 09:00:22.499 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
