 712.000;  0.000;  49.000;  0.000;  0.936;  0.936;  0.936
 313.000;  0.000;  0.000;  0.000;  1.000;  1.000;  1.000
 137.000;  0.000;  3.000;  0.000;  0.979;  0.979;  0.979
 258.000;  0.000;  8.000;  72.000;  0.970;  0.970;  0.970
 155.000;  0.000;  1.000;  28.000;  0.994;  0.994;  0.994
 855.000;  40.000;  5.000;  45.000;  0.950;  0.994;  0.972
 1215.000;  92.000;  197.000;  1161.000;  0.808;  0.860;  0.833
 4476.000;  255.000;  665.000;  3180.000;  0.830;  0.871;  0.850
 7272.000;  50.000;  1388.000;  1218.000;  0.835;  0.840;  0.837
 2288.000;  0.000;  442.000;  270.000;  0.838;  0.838;  0.838
