4;10;4;1
-0.001187;-0.001557;-0.000659;-0.001556;
0.000264;-0.001199;-0.000132;-0.001319;
0.000000;-0.000600;-0.000264;-0.000600;
0.001585;0.000841;0.001320;0.000841;
0.003692;0.000000;0.004351;0.000240;
0.000394;-0.000120;0.000525;-0.000480;
0.000919;-0.000600;0.000919;-0.000480;
-0.000787;-0.000601;-0.000787;-0.000601;
-0.001838;0.001202;-0.002230;0.001202;
0.000395;0.000360;0.000657;0.000480;
-0.002367;-0.001080;-0.002102;-0.001080;
20160121-12:49:42.731 BRT;20160121-12:53:58.745 BRT;20160121-12:58:14.862 BRT;20160121-13:02:30.875 BRT;20160121-13:06:46.888 BRT;20160121-13:11:03.520 BRT;20160121-13:15:19.570 BRT;20160121-13:19:35.144 BRT;20160121-13:23:51.161 BRT;20160121-13:28:07.240 BRT;20160121-13:32:23.244 BRT;
