4;10;4;1
-0.001709;0.000721;-0.002234;0.000721;
0.000395;-0.000240;0.000922;-0.000360;
-0.002107;0.000961;-0.002500;0.000961;
-0.000396;0.000360;-0.000396;0.000480;
0.000396;-0.000840;0.000528;-0.000960;
0.000660;0.000120;0.000396;0.000120;
0.000396;-0.000360;0.000791;-0.000120;
-0.000923;0.002762;-0.001054;0.002522;
0.000792;0.000599;0.000791;0.000719;
0.002109;-0.000958;0.002240;-0.000838;
-0.000132;0.000240;0.000000;0.000120;
20160121-16:23:04.886 BRT;20160121-16:27:20.892 BRT;20160121-16:31:36.972 BRT;20160121-16:35:52.978 BRT;20160121-16:40:08.978 BRT;20160121-16:44:25.430 BRT;20160121-16:48:41.480 BRT;20160121-16:52:57.490 BRT;20160121-16:57:13.830 BRT;20160121-17:01:29.940 BRT;20160121-17:05:45.104 BRT;
