4;10;4;1
0.000000;0.000000;0.000000;0.000000;
0.000000;0.000000;0.000000;0.000000;
0.032967;-0.034691;-0.007125;0.007750;
0.000798;0.000962;0.001595;0.000841;
-0.000930;-0.000600;-0.002256;-0.000720;
-0.000399;-0.000841;0.000532;-0.000601;
0.000133;-0.000361;-0.000133;-0.000481;
-0.000931;0.000842;-0.000930;0.000722;
0.000266;0.000240;0.000399;0.000120;
0.002263;0.000240;0.001729;0.000361;
-0.000398;0.002883;-0.000398;0.003003;
20160121-08:55:00.370 BRT;20160121-08:59:16.284 BRT;20160121-09:03:32.321 BRT;20160121-09:07:48.456 BRT;20160121-09:12:04.472 BRT;20160121-09:16:20.488 BRT;20160121-09:20:36.499 BRT;20160121-09:24:52.638 BRT;20160121-09:29:09.295 BRT;20160121-09:33:25.317 BRT;20160121-09:37:41.359 BRT;
