4;10;4;1
-0.000262;-0.000724;0.000000;-0.000483;
-0.001049;0.000967;-0.001180;0.000846;
0.000000;0.000483;-0.000131;0.000604;
-0.001838;0.001086;-0.001969;0.001086;
0.000658;0.000121;0.000789;0.000000;
-0.000263;0.001446;-0.000263;0.001567;
-0.000658;0.000361;-0.001052;0.000361;
0.000921;-0.000722;0.001184;-0.000842;
0.001052;0.000120;0.000920;0.000241;
0.001313;-0.000120;0.001444;-0.000120;
-0.001574;0.001083;-0.001311;0.001204;
20160121-15:31:52.282 BRT;20160121-15:36:08.297 BRT;20160121-15:40:24.543 BRT;20160121-15:44:40.579 BRT;20160121-15:48:56.588 BRT;20160121-15:53:12.588 BRT;20160121-15:57:28.664 BRT;20160121-16:01:44.666 BRT;20160121-16:06:00.785 BRT;20160121-16:10:16.785 BRT;20160121-16:14:32.836 BRT;
