4;10;4;1
0.001583;-0.001200;0.001583;-0.001320;
0.001581;0.000240;0.001844;0.000120;
0.000921;0.000000;0.000526;0.000240;
-0.000788;-0.000601;-0.000920;-0.000841;
-0.000132;-0.001082;0.000131;-0.000962;
0.002104;-0.001685;0.002630;-0.001805;
0.000788;0.000121;0.000262;0.000121;
0.000262;0.000964;0.000524;0.001205;
-0.001311;-0.001084;-0.001310;-0.001084;
0.000525;0.001567;0.000525;0.001326;
-0.002887;0.001565;-0.003147;0.002046;
20160121-11:15:50.250 BRT;20160121-11:20:06.259 BRT;20160121-11:24:22.280 BRT;20160121-11:28:38.293 BRT;20160121-11:32:54.304 BRT;20160121-11:37:10.307 BRT;20160121-11:41:26.348 BRT;20160121-11:45:42.365 BRT;20160121-11:49:58.365 BRT;20160121-11:54:14.367 BRT;20160121-11:58:30.377 BRT;
