4;10;4;1
-0.000262;-0.000241;-0.000262;-0.000241;
0.000393;0.000241;0.000262;0.000362;
-0.000785;-0.000241;-0.000785;-0.000482;
-0.000524;-0.000965;-0.000523;-0.001086;
0.000786;0.000362;0.000262;0.000725;
-0.000916;0.000241;-0.000393;0.000241;
-0.001179;0.000603;-0.001048;0.000603;
0.000525;0.000121;0.000655;0.000121;
-0.000131;-0.000603;-0.000262;-0.000723;
0.000000;-0.000483;-0.000131;-0.000483;
-0.000393;-0.000483;-0.000393;-0.000362;
20160121-15:17:09.300 BRT;20160121-15:18:13.398 BRT;20160121-15:19:17.398 BRT;20160121-15:20:21.418 BRT;20160121-15:21:25.439 BRT;20160121-15:22:29.456 BRT;20160121-15:23:33.467 BRT;20160121-15:24:37.467 BRT;20160121-15:25:41.534 BRT;20160121-15:26:45.538 BRT;20160121-15:27:49.575 BRT;
