4;10;4;1
-0.001443;0.001326;-0.001180;0.000964;
-0.000131;-0.000120;-0.000263;0.000241;
0.000919;0.000361;0.000919;0.000241;
0.000919;0.000000;0.001181;-0.000120;
-0.000918;-0.000482;-0.000786;-0.000602;
0.000787;-0.001084;0.000525;-0.000964;
-0.001574;0.000362;-0.001704;0.000241;
0.000525;0.000000;0.000919;0.000000;
0.000394;-0.000121;0.000393;0.000241;
0.000131;0.000964;-0.000131;0.000603;
0.000131;0.000482;0.000000;0.000482;
20160121-11:42:38.253 BRT;20160121-11:43:42.284 BRT;20160121-11:44:46.305 BRT;20160121-11:45:50.317 BRT;20160121-11:46:54.381 BRT;20160121-11:47:58.383 BRT;20160121-11:49:02.407 BRT;20160121-11:50:06.519 BRT;20160121-11:51:10.673 BRT;20160121-11:52:14.692 BRT;20160121-11:53:18.787 BRT;
