4;10;4;1
-0.001180;-0.000839;-0.001049;-0.000719;
-0.003151;0.000360;-0.002887;0.000360;
0.000659;0.000480;0.000132;0.000360;
0.001316;0.000479;0.001316;0.000479;
-0.001840;0.000000;-0.001709;0.000240;
0.001449;-0.000359;0.001580;-0.000599;
-0.001052;0.000839;-0.001314;0.000958;
-0.001843;-0.000479;-0.001711;-0.000479;
-0.001978;-0.000479;-0.001714;-0.000718;
0.001189;0.000000;0.000924;-0.000120;
-0.000924;-0.000719;-0.000660;-0.000360;
20160121-12:38:08.173 BRT;20160121-12:39:12.173 BRT;20160121-12:40:16.183 BRT;20160121-12:41:20.185 BRT;20160121-12:42:24.185 BRT;20160121-12:43:28.290 BRT;20160121-12:44:32.298 BRT;20160121-12:45:36.306 BRT;20160121-12:46:40.308 BRT;20160121-12:47:44.310 BRT;20160121-12:48:48.313 BRT;
