4;10;4;1
-0.001052;0.000240;-0.001183;0.000000;
-0.000263;0.000120;-0.000132;0.000120;
-0.001580;0.000359;-0.001711;0.000479;
-0.000396;0.000359;-0.000395;0.000359;
-0.000132;0.000598;-0.000264;0.000479;
0.000396;-0.000718;0.000528;-0.000478;
-0.000264;0.000000;-0.000132;0.000000;
0.000923;0.000359;0.000659;0.000120;
0.000264;-0.000479;0.000395;-0.000359;
0.000000;-0.000479;-0.000132;-0.000479;
0.000659;-0.000120;0.001054;-0.000120;
20160121-17:10:18.710 BRT;20160121-17:11:23.310 BRT;20160121-17:12:27.365 BRT;20160121-17:13:31.366 BRT;20160121-17:14:35.399 BRT;20160121-17:15:39.399 BRT;20160121-17:16:43.524 BRT;20160121-17:17:47.600 BRT;20160121-17:18:51.603 BRT;20160121-17:19:55.788 BRT;20160121-17:20:59.833 BRT;
