4;10;4;1
-0.000132;0.000240;-0.000527;0.000240;
-0.001056;0.000120;-0.001055;0.000240;
-0.000396;0.000120;-0.000396;0.000120;
0.001057;0.000240;0.001321;0.000000;
0.000264;-0.000240;0.000264;0.000000;
0.000396;0.000240;0.000264;0.000000;
0.000396;-0.000480;0.000396;-0.000120;
-0.001187;-0.000480;-0.001318;-0.000600;
0.000528;-0.000240;0.000792;-0.000240;
0.000528;-0.000240;0.000396;-0.000120;
0.000000;-0.000240;0.000000;-0.000480;
20160121-16:31:52.818 BRT;20160121-16:32:56.843 BRT;20160121-16:34:00.843 BRT;20160121-16:35:04.859 BRT;20160121-16:36:09.130 BRT;20160121-16:37:13.790 BRT;20160121-16:38:17.154 BRT;20160121-16:39:21.288 BRT;20160121-16:40:25.322 BRT;20160121-16:41:29.330 BRT;20160121-16:42:33.400 BRT;
