4;10;4;1
-0.000399;0.000120;-0.000265;0.000240;
0.000532;-0.000240;0.000398;-0.000480;
-0.000797;0.000360;-0.000398;0.000360;
0.000532;-0.000120;0.000266;-0.000120;
0.001462;-0.000720;0.001991;-0.000720;
0.001327;-0.000240;0.000795;-0.000120;
0.000000;0.000240;-0.000132;-0.000120;
0.000663;0.000240;0.001059;0.000601;
0.000530;0.000120;0.000132;-0.000120;
-0.000265;0.000360;-0.000264;0.000600;
-0.000265;-0.000360;-0.000265;-0.000360;
20160121-10:01:13.567 BRT;20160121-10:02:17.715 BRT;20160121-10:03:21.718 BRT;20160121-10:04:25.728 BRT;20160121-10:05:29.728 BRT;20160121-10:06:33.787 BRT;20160121-10:07:37.787 BRT;20160121-10:08:41.813 BRT;20160121-10:09:45.860 BRT;20160121-10:10:49.910 BRT;20160121-10:11:53.922 BRT;
