NEURON;SYNAPSE;GAUSS-RAD;LOG-FACTOR;VOTE-PARAM;HIT
18x10;32;3;2;2;0.4046511628
18x10;32;3;2;2.5;0.4162790698
18x10;32;3;2;3;0.4069767442
18x10;32;3;4;2;0.4418604651
18x10;32;3;4;2.5;0.4418604651
18x10;32;3;4;3;0.4558139535
18x10;32;3;6;2;0.4744186047
18x10;32;3;6;2.5;0.4697674419
18x10;32;3;6;3;0.4651162791
18x10;32;3;8;2;0.4976744186
18x10;32;3;8;2.5;0.4953488372
18x10;32;3;8;3;0.4930232558
18x10;32;3;10;2;0.4930232558
18x10;32;3;10;2.5;0.4953488372
18x10;32;3;10;3;0.4744186047
18x10;32;5;2;2;0.6720930233
18x10;32;5;2;2.5;0.6860465116
18x10;32;5;2;3;0.6697674419
18x10;32;5;4;2;0.7139534884
18x10;32;5;4;2.5;0.7186046512
18x10;32;5;4;3;0.7279069767
18x10;32;5;6;2;0.723255814
18x10;32;5;6;2.5;0.723255814
18x10;32;5;6;3;0.7348837209
18x10;32;5;8;2;0.7186046512
18x10;32;5;8;2.5;0.7348837209
18x10;32;5;8;3;0.7046511628
18x10;32;5;10;2;0.7441860465
18x10;32;5;10;2.5;0.7302325581
18x10;32;5;10;3;0.7395348837
18x10;32;7;2;2;0.723255814
18x10;32;7;2;2.5;0.7302325581
18x10;32;7;2;3;0.7302325581
18x10;32;7;4;2;0.7534883721
18x10;32;7;4;2.5;0.7348837209
18x10;32;7;4;3;0.7488372093
18x10;32;7;6;2;0.7627906977
18x10;32;7;6;2.5;0.7581395349
18x10;32;7;6;3;0.7395348837
18x10;32;7;8;2;0.7720930233
18x10;32;7;8;2.5;0.7674418605
18x10;32;7;8;3;0.7651162791
18x10;32;7;10;2;0.7651162791
18x10;32;7;10;2.5;0.7837209302
18x10;32;7;10;3;0.776744186
18x10;32;9;2;2;0.7046511628
18x10;32;9;2;2.5;0.7046511628
18x10;32;9;2;3;0.7069767442
18x10;32;9;4;2;0.7418604651
18x10;32;9;4;2.5;0.7372093023
18x10;32;9;4;3;0.7395348837
18x10;32;9;6;2;0.7627906977
18x10;32;9;6;2.5;0.7697674419
18x10;32;9;6;3;0.7697674419
18x10;32;9;8;2;0.7906976744
18x10;32;9;8;2.5;0.7651162791
18x10;32;9;8;3;0.7860465116
18x10;32;9;10;2;0.7813953488
18x10;32;9;10;2.5;0.7930232558
18x10;32;9;10;3;0.7790697674
18x10;64;1;2;2;0.1813953488
18x10;64;1;2;2.5;0.1930232558
18x10;64;1;2;3;0.2023255814
18x10;64;1;4;2;0.2279069767
18x10;64;1;4;2.5;0.2186046512
18x10;64;1;4;3;0.2186046512
18x10;64;1;6;2;0.2465116279
18x10;64;1;6;2.5;0.2418604651
18x10;64;1;6;3;0.2348837209
18x10;64;1;8;2;0.2465116279
18x10;64;1;8;2.5;0.2488372093
18x10;64;1;8;3;0.2418604651
18x10;64;1;10;2;0.2558139535
18x10;64;1;10;2.5;0.2465116279
18x10;64;1;10;3;0.2441860465
18x10;64;3;2;2;0.8325581395
18x10;64;3;2;2.5;0.8348837209
18x10;64;3;2;3;0.8302325581
18x10;64;3;4;2;0.8279069767
18x10;64;3;4;2.5;0.8372093023
18x10;64;3;4;3;0.8279069767
18x10;64;3;6;2;0.8279069767
18x10;64;3;6;2.5;0.8372093023
18x10;64;3;6;3;0.8372093023
18x10;64;3;8;2;0.8279069767
18x10;64;3;8;2.5;0.8325581395
18x10;64;3;8;3;0.8279069767
18x10;64;3;10;2;0.8255813953
18x10;64;3;10;2.5;0.8255813953
18x10;64;3;10;3;0.8186046512
18x10;64;5;2;2;0.9069767442
18x10;64;5;2;2.5;0.9093023256
18x10;64;5;2;3;0.9093023256
18x10;64;5;4;2;0.9139534884
18x10;64;5;4;2.5;0.8976744186
18x10;64;5;4;3;0.8976744186
18x10;64;5;6;2;0.9162790698
18x10;64;5;6;2.5;0.9162790698
18x10;64;5;6;3;0.911627907
18x10;64;5;8;2;0.9
18x10;64;5;8;2.5;0.9
18x10;64;5;8;3;0.9023255814
18x10;64;5;10;2;0.9023255814
18x10;64;5;10;2.5;0.9093023256
18x10;64;5;10;3;0.9069767442
18x10;64;7;2;2;0.923255814
18x10;64;7;2;2.5;0.9279069767
18x10;64;7;2;3;0.9325581395
18x10;64;7;4;2;0.9348837209
18x10;64;7;4;2.5;0.9279069767
18x10;64;7;4;3;0.9279069767
18x10;64;7;6;2;0.9348837209
18x10;64;7;6;2.5;0.9395348837
18x10;64;7;6;3;0.9255813953
18x10;64;7;8;2;0.923255814
18x10;64;7;8;2.5;0.9139534884
18x10;64;7;8;3;0.9279069767
18x10;64;7;10;2;0.9372093023
18x10;64;7;10;2.5;0.9302325581
18x10;64;7;10;3;0.9279069767
18x10;64;9;2;2;0.911627907
18x10;64;9;2;2.5;0.9139534884
18x10;64;9;2;3;0.911627907
18x10;64;9;4;2;0.9186046512
18x10;64;9;4;2.5;0.9139534884
18x10;64;9;4;3;0.9186046512
18x10;64;9;6;2;0.9302325581
18x10;64;9;6;2.5;0.923255814
18x10;64;9;6;3;0.9209302326
18x10;64;9;8;2;0.9395348837
18x10;64;9;8;2.5;0.9302325581
18x10;64;9;8;3;0.9302325581
18x10;64;9;10;2;0.9302325581
18x10;64;9;10;2.5;0.9348837209
18x10;64;9;10;3;0.9372093023
18x10;128;1;2;2;0.4837209302
18x10;128;1;2;2.5;0.4953488372
18x10;128;1;2;3;0.4953488372
18x10;128;1;4;2;0.5093023256
18x10;128;1;4;2.5;0.5023255814
18x10;128;1;4;3;0.5441860465
18x10;128;1;6;2;0.5441860465
18x10;128;1;6;2.5;0.5279069767
18x10;128;1;6;3;0.5302325581
18x10;128;1;8;2;0.5558139535
18x10;128;1;8;2.5;0.5418604651
18x10;128;1;8;3;0.5488372093
18x10;128;1;10;2;0.5302325581
18x10;128;1;10;2.5;0.523255814
18x10;128;1;10;3;0.5186046512
18x10;128;3;2;2;0.911627907
18x10;128;3;2;2.5;0.8930232558
18x10;128;3;2;3;0.911627907
18x10;128;3;4;2;0.8837209302
18x10;128;3;4;2.5;0.8860465116
18x10;128;3;4;3;0.8953488372
18x10;128;3;6;2;0.8837209302
18x10;128;3;6;2.5;0.8953488372
18x10;128;3;6;3;0.8813953488
18x10;128;3;8;2;0.8860465116
18x10;128;3;8;2.5;0.9
18x10;128;3;8;3;0.8976744186
18x10;128;3;10;2;0.876744186
18x10;128;3;10;2.5;0.888372093
18x10;128;3;10;3;0.8744186047
18x10;128;5;2;2;0.9558139535
18x10;128;5;2;2.5;0.9651162791
18x10;128;5;2;3;0.9558139535
18x10;128;5;4;2;0.9441860465
18x10;128;5;4;2.5;0.9395348837
18x10;128;5;4;3;0.9441860465
18x10;128;5;6;2;0.9302325581
18x10;128;5;6;2.5;0.9302325581
18x10;128;5;6;3;0.9302325581
18x10;128;5;8;2;0.9348837209
18x10;128;5;8;2.5;0.9325581395
18x10;128;5;8;3;0.9279069767
18x10;128;5;10;2;0.9279069767
18x10;128;5;10;2.5;0.9325581395
18x10;128;5;10;3;0.9325581395
18x10;128;7;2;2;0.9627906977
18x10;128;7;2;2.5;0.9651162791
18x10;128;7;2;3;0.9627906977
18x10;128;7;4;2;0.9697674419
18x10;128;7;4;2.5;0.9744186047
18x10;128;7;4;3;0.9744186047
18x10;128;7;6;2;0.9720930233
18x10;128;7;6;2.5;0.9651162791
18x10;128;7;6;3;0.9674418605
18x10;128;7;8;2;0.9558139535
18x10;128;7;8;2.5;0.9581395349
18x10;128;7;8;3;0.9534883721
18x10;128;7;10;2;0.9651162791
18x10;128;7;10;2.5;0.9674418605
18x10;128;7;10;3;0.9674418605
18x10;128;9;2;2;0.9558139535
18x10;128;9;2;2.5;0.9511627907
18x10;128;9;2;3;0.9441860465
18x10;128;9;4;2;0.9627906977
18x10;128;9;4;2.5;0.9581395349
18x10;128;9;4;3;0.9627906977
18x10;128;9;6;2;0.9441860465
18x10;128;9;6;2.5;0.9488372093
18x10;128;9;6;3;0.9511627907
18x10;128;9;8;2;0.9511627907
18x10;128;9;8;2.5;0.9465116279
18x10;128;9;8;3;0.9465116279
18x10;128;9;10;2;0.9604651163
18x10;128;9;10;2.5;0.9627906977
18x10;128;9;10;3;0.9627906977
