st = 29: ii =  0.00, i! =  0.00, i- =  1.00, !i =  0.00, !! =  0.00, !- =  2.00, -i =  2.00, -! =  3.00, -- = 92.00, == =  92.00:  gi  -33.3  g!  -33.3  money = 50000.00
st = 30: ii =  0.00, i! =  0.00, i- =  5.00, !i =  0.00, !! =  1.00, !- =  5.00, -i =  2.00, -! =  3.00, -- = 84.00, == =  85.00:  gi  -33.3  g!  -11.1  money = 50000.00
st = 31: ii = 11.00, i! = 13.00, i- =  9.00, !i = 18.00, !! = 20.00, !- = 13.00, -i =  6.00, -! =  4.00, -- =  6.00, == =  37.00:  gi  -15.2  g!   -4.6  money = 50119.08
st = 32: ii = 15.00, i! = 13.00, i- =  6.00, !i = 11.00, !! = 12.00, !- = 10.00, -i = 19.00, -! =  9.00, -- =  5.00, == =  32.00:  gi    0.0  g!   -7.1  money = 50103.28
st = 33: ii = 15.00, i! =  9.00, i- =  8.00, !i =  7.00, !! =  5.00, !- =  8.00, -i = 12.00, -! =  9.00, -- = 27.00, == =  47.00:  gi   10.4  g!  -23.3  money = 51080.11
st = 34: ii = 21.00, i! = 19.00, i- =  8.00, !i = 15.00, !! =  5.00, !- = 10.00, -i = 11.00, -! =  5.00, -- =  6.00, == =  32.00:  gi   -1.4  g!  -44.4  money = 49928.14
st = 35: ii = 23.00, i! = 21.00, i- =  3.00, !i = 21.00, !! = 22.00, !- =  3.00, -i =  2.00, -! =  5.00, -- =  0.00, == =  45.00:  gi    2.1  g!    0.0  money = 51491.72
st = 36: ii = 20.00, i! = 21.00, i- =  5.00, !i = 25.00, !! = 20.00, !- =  4.00, -i =  1.00, -! =  3.00, -- =  1.00, == =  41.00:  gi   -5.8  g!  -12.9  money = 48788.91
st = 37: ii = 17.00, i! = 20.00, i- =  8.00, !i = 15.00, !! = 14.00, !- = 12.00, -i =  8.00, -! =  5.00, -- =  1.00, == =  32.00:  gi  -12.6  g!  -12.2  money = 49589.03
st = 38: ii = 19.00, i! = 28.00, i- =  1.00, !i = 20.00, !! = 19.00, !- =  4.00, -i =  2.00, -! =  6.00, -- =  1.00, == =  39.00:  gi  -19.4  g!   -5.4  money = 47574.23
st = 39: ii = 15.00, i! = 17.00, i- = 11.00, !i = 22.00, !! = 18.00, !- =  3.00, -i =  6.00, -! =  6.00, -- =  2.00, == =  35.00:  gi  -13.2  g!  -11.6  money = 48276.00
st = 40: ii = 19.00, i! = 16.00, i- =  6.00, !i = 13.00, !! = 13.00, !- = 12.00, -i =  8.00, -! =  8.00, -- =  5.00, == =  37.00:  gi    2.4  g!  -10.5  money = 51140.64
st = 41: ii = 17.00, i! = 19.00, i- =  6.00, !i = 13.00, !! = 11.00, !- =  8.00, -i = 11.00, -! =  8.00, -- =  7.00, == =  35.00:  gi   -9.5  g!  -14.6  money = 49981.74
st = 42: ii = 19.00, i! = 14.00, i- = 11.00, !i = 16.00, !! = 10.00, !- = 11.00, -i =  7.00, -! =  7.00, -- =  5.00, == =  34.00:  gi    3.0  g!  -26.1  money = 50408.46
st = 43: ii =  9.00, i! =  7.00, i- = 11.00, !i = 19.00, !! = 12.00, !- = 15.00, -i = 13.00, -! =  7.00, -- =  7.00, == =  28.00:  gi   -6.2  g!  -26.1  money = 50850.52
st = 44: ii = 16.00, i! =  6.00, i- = 11.00, !i = 10.00, !! = 11.00, !- = 10.00, -i = 16.00, -! = 10.00, -- = 10.00, == =  37.00:  gi   19.2  g!   -7.5  money = 52327.49
st = 45: ii =  0.00, i! =  0.00, i- =  2.00, !i =  0.00, !! =  1.00, !- =  4.00, -i =  5.00, -! =  8.00, -- = 80.00, == =  81.00:  gi  -33.3  g!   -6.7  money = 50000.00
st = 46: ii =  8.00, i! =  4.00, i- = 12.00, !i =  6.00, !! =  7.00, !- = 12.00, -i =  8.00, -! = 10.00, -- = 33.00, == =  48.00:  gi    0.0  g!  -12.0  money = 51588.59
st = 47: ii =  0.00, i! =  0.00, i- = 11.00, !i =  3.00, !! =  2.00, !- = 11.00, -i =  8.00, -! = 11.00, -- = 54.00, == =  56.00:  gi  -33.3  g!  -29.2  money = 50000.00
st = 48: ii = 21.00, i! =  8.00, i- = 11.00, !i = 10.00, !! =  7.00, !- =  8.00, -i = 12.00, -! = 14.00, -- =  9.00, == =  37.00:  gi   23.3  g!  -22.7  money = 50794.04
st = 49: ii = 16.00, i! =  9.00, i- =  8.00, !i = 13.00, !! = 12.00, !- =  7.00, -i = 13.00, -! = 10.00, -- = 12.00, == =  40.00:  gi   13.1  g!  -10.4  money = 51781.94
