id; time; WIN<qty=25>; IND<qty=5>; WDO<qty=6>; DOL<qty=5>;
67; 2016-03-01 11:11:41.962 BRT; -0.000797; -0.000963; 0.000099; 0.000088;
68; 2016-03-01 11:12:45.974 BRT; 0.000341; 0.000061; -0.000273; -0.000284;
69; 2016-03-01 11:13:50.182 BRT; -0.000455; -0.000735; -0.000273; -0.000408;
70; 2016-03-01 11:14:54.218 BRT; -0.000178; -0.000280; 0.000595; 0.000459;
71; 2016-03-01 11:15:58.252 BRT; -0.000264; -0.000394; -0.000149; -0.000284;
72; 2016-03-01 11:17:02.289 BRT; 0.000610; 0.000403; 0.000099; -0.000036;
73; 2016-03-01 11:18:06.453 BRT; -0.000442; -0.000508; -0.000025; -0.000160;
74; 2016-03-01 11:19:10.508 BRT; -0.000415; -0.000508; -0.000025; -0.000160;
75; 2016-03-01 11:20:14.517 BRT; -0.000260; -0.000508; 0.000099; 0.000088;
76; 2016-03-01 11:21:18.571 BRT; -0.000187; -0.000280; -0.000645; -0.000533;
77; 2016-03-01 11:22:22.571 BRT; -0.000584; -0.000622; 0.000099; 0.000088;
78; 2016-03-01 11:23:26.609 BRT; 0.000000; -0.000052; -0.000397; -0.000532;
79; 2016-03-01 11:24:30.818 BRT; -0.000597; -0.000850; -0.000273; -0.000408;
80; 2016-03-01 11:25:34.826 BRT; -0.000055; -0.000280; -0.001141; -0.001152;
81; 2016-03-01 11:26:38.857 BRT; -0.000456; -0.000622; -0.000396; -0.000408;
82; 2016-03-01 11:27:42.881 BRT; 0.000105; -0.000052; -0.000396; -0.000408;
83; 2016-03-01 11:28:46.931 BRT; 0.000543; 0.000404; -0.000149; -0.000160;
84; 2016-03-01 11:29:50.941 BRT; 0.000497; 0.000290; -0.000974; -0.001027;
85; 2016-03-01 11:30:54.964 BRT; -0.002932; -0.003021; 0.000573; 0.000459;
86; 2016-03-01 11:31:58.964 BRT; -0.000492; -0.000736; -0.000025; -0.000160;
87; 2016-03-01 11:33:02.972 BRT; -0.001121; -0.001305; -0.000149; -0.000284;
88; 2016-03-01 11:34:06.987 BRT; 0.000114; -0.000166; -0.001387; -0.001523;
89; 2016-03-01 11:35:10.987 BRT; 0.000364; 0.000289; -0.000025; -0.000160;
90; 2016-03-01 11:36:15.340 BRT; 0.001071; 0.000859; -0.000272; -0.000284;
91; 2016-03-01 11:37:19.430 BRT; -0.000137; -0.000281; -0.000272; -0.000407;
92; 2016-03-01 11:38:23.116 BRT; 0.000570; 0.000404; -0.000767; -0.000902;
93; 2016-03-01 11:39:27.146 BRT; 0.002138; 0.002003; -0.000148; -0.000283;
94; 2016-03-01 11:40:31.150 BRT; -0.000746; -0.000854; -0.000190; -0.000160;
95; 2016-03-01 11:41:35.150 BRT; -0.001227; -0.001426; 0.000223; 0.000088;
96; 2016-03-01 11:42:39.166 BRT; -0.000288; -0.000281; 0.000346; 0.000211;
97; 2016-03-01 11:43:43.231 BRT; -0.000178; -0.000281; 0.000099; 0.000088;
98; 2016-03-01 11:44:47.232 BRT; -0.000320; -0.000396; -0.000149; -0.000160;
99; 2016-03-01 11:45:51.300 BRT; -0.000183; -0.000396; -0.000293; -0.000407;
100; 2016-03-01 11:46:55.339 BRT; -0.002068; -0.002226; -0.000149; -0.000160;
101; 2016-03-01 11:47:59.339 BRT; -0.000612; -0.000852; -0.000520; -0.000531;
102; 2016-03-01 11:49:03.358 BRT; -0.000027; -0.000167; 0.000346; 0.000211;
103; 2016-03-01 11:50:07.358 BRT; -0.001745; -0.001994; -0.000644; -0.000779;
104; 2016-03-01 11:51:11.372 BRT; -0.000488; -0.000623; -0.000643; -0.000655;
105; 2016-03-01 11:52:15.396 BRT; -0.001035; -0.001078; -0.000025; -0.000036;
106; 2016-03-01 11:53:19.425 BRT; 0.000100; -0.000052; -0.000890; -0.000902;
107; 2016-03-01 11:54:23.518 BRT; 0.000155; -0.000052; -0.000766; -0.000778;
108; 2016-03-01 11:55:27.521 BRT; -0.000132; -0.000281; 0.000099; -0.000036;
109; 2016-03-01 11:56:31.565 BRT; -0.000525; -0.000737; 0.001458; 0.001323;
110; 2016-03-01 11:57:35.570 BRT; -0.002536; -0.002561; 0.000346; 0.000335;
111; 2016-03-01 11:58:39.588 BRT; 0.000009; 0.000061; 0.000718; 0.000583;
112; 2016-03-01 11:59:43.601 BRT; -0.001298; -0.001419; -0.000644; -0.000532;
113; 2016-03-01 12:00:47.603 BRT; -0.001297; -0.001417; 0.000326; 0.000212;
114; 2016-03-01 12:01:51.604 BRT; 0.000841; 0.000857; -0.000479; -0.000532;
115; 2016-03-01 12:02:55.604 BRT; -0.000428; -0.000507; 0.001214; 0.001079;
116; 2016-03-01 12:03:59.621 BRT; 0.000005; -0.000166; -0.000769; -0.000657;
117; 2016-03-01 12:05:03.621 BRT; -0.000738; -0.001077; 0.000120; 0.000088;
118; 2016-03-01 12:06:07.647 BRT; -0.001911; -0.001758; -0.000397; -0.000532;
119; 2016-03-01 12:07:11.712 BRT; 0.000913; 0.000743; -0.000397; -0.000408;
120; 2016-03-01 12:08:16.490 BRT; -0.000268; -0.000393; -0.000149; -0.000160;
121; 2016-03-01 12:09:20.580 BRT; 0.000564; 0.000403; -0.000397; -0.000532;
122; 2016-03-01 12:10:24.100 BRT; -0.000984; -0.001077; -0.000149; -0.000284;
123; 2016-03-01 12:11:28.100 BRT; 0.001138; 0.000858; -0.000769; -0.001028;
124; 2016-03-01 12:12:32.107 BRT; -0.000602; -0.000736; 0.000471; 0.000335;
125; 2016-03-01 12:13:36.302 BRT; -0.001066; -0.001305; -0.000169; -0.000284;
126; 2016-03-01 12:14:40.305 BRT; 0.000692; 0.000517; -0.000769; -0.000780;
127; 2016-03-01 12:15:44.326 BRT; 0.001208; 0.001087; -0.000025; -0.000036;
128; 2016-03-01 12:16:48.346 BRT; -0.000853; -0.001079; -0.000293; -0.000408;
129; 2016-03-01 12:17:52.368 BRT; -0.001765; -0.001991; 0.000099; -0.000036;
130; 2016-03-01 12:18:56.393 BRT; 0.000405; 0.000175; 0.000099; 0.000088;
131; 2016-03-01 12:20:00.415 BRT; -0.000551; -0.000622; -0.000025; -0.000160;
132; 2016-03-01 12:21:04.434 BRT; -0.000114; -0.000280; 0.000471; 0.000460;
133; 2016-03-01 12:22:08.518 BRT; -0.000670; -0.000736; 0.000099; 0.000088;
134; 2016-03-01 12:23:12.545 BRT; -0.000984; -0.001077; 0.000968; 0.000832;
135; 2016-03-01 12:24:16.621 BRT; -0.001138; -0.001304; -0.000397; -0.000409;
