AMBV4	4.3229166666667
BBAS3	7.1034482758621
BBDC4	5.8714285714286
BRAP4	5.1111111111111
BRFS3	6.8965517241379
BTOW3	3.8962264150943
BVMF3	5.3866666666667
CCRO3	3.45
CESP6	5.3896103896104
CMIG4	3.9150943396226
CPLE6	9.1333333333333
CSAN3	5.8450704225352
CSNA3	4.3125
CYRE3	3.8962264150943
ECOD3	7.0338983050847
ELET3	4.8705882352941
ELET6	4.4782608695652
ELPL6	5.6438356164384
EMBR3	5.9710144927536
FIBR3	3.7636363636364
GFSA3	4.7857142857143
GGBR4	4.6404494382022
GOAU4	3.7454545454545
GOLL4	5.0609756097561
ITSA4	6.3230769230769
ITUB4	6.5873015873016
JBSS3	2.9432624113475
LAME4	4.8139534883721
LLXL3	3.9428571428571
LREN3	3.9056603773585
MMXM3	4.1616161616162
MRVE3	3.7981651376147
NATU3	4.6292134831461
NETC4	104
OGXP3	4.3578947368421
PCAR5	6.6935483870968
PDGR3	4.5604395604396
PETR3	4.0693069306931
PETR4	4.8139534883721
RDCD3	6.4561403508772
RSID3	3.8073394495413
TAMM4	4.9166666666667
TCSL4	4.15
TNLP4	5.9
USIM3	5.0365853658537
USIM5	4.4148936170213
VALE3	6.1029411764706
VALE5	5.2405063291139
VIVO4	6.6774193548387
